Neighbourhood,Year ,Home price,Change in housing pricing,Low income population,Low income population percentage,Total Area,Total Population,Pop  25 - 34 years,Recent Immigrants,TTC Stops,Health Providers,Businesses,Social Housing Units,Rent Bank Applicants,Future_low_income_pop_per,Future_Change_housing_pricing 
Agincourt-North,2016,462927,0.533881597,"6,145",21.11,7.3,29113,3790,2165,94,20,353,247,8,0,0
Agincourt-South-Malvern-West,2016,494807,0.539924499,"5,315",22.37,7.9,23757,3675,1740,125,75,1378,250,18,0,0
Alderwood,2016,498107,0.47248261,985,8.17,5,12054,1545,205,60,13,309,77,4,0,0
Annex,2016,1168096,0.435877012,"5,245",17.18,2.8,30526,7630,990,120,198,2328,1436,7,0,0
Banbury-Don-Mills,2016,858329,0.527096462,"3,705",13.38,10,27695,2985,1505,128,65,834,304,4,0,0
Bathurst-Manor,2016,607705,0.507204861,"2,655",16.73,4.8,15873,2005,1495,69,41,244,301,3,0,0
Bay-Street-Corridor,2016,1225229,0.380771532,"9,665",37.47,1.8,25797,7895,2275,126,187,4324,754,5,0,0
Bayview-Village,2016,895162,0.61756484,"5,015",23.44,5.2,21396,4430,2515,43,128,460,131,2,0,0
Bayview-Woods-Steeles,2016,710428,0.46008858,"2,335",17.75,4.1,13154,1385,1065,37,10,93,174,4,0,0
Bedford-Park-Nortown,2016,981664,0.463291894,"2,170",9.34,5.5,23236,1975,1265,75,50,676,236,3,0,0
Beechborough-Greenbrook,2016,497851,0.54880989,"1,785",27.14,1.8,6577,900,360,35,7,128,824,9,0,0
Bendale,2016,414960,0.463579803,"6,815",22.75,7.4,29960,4415,1970,118,84,853,504,22,0,0
Birchcliffe-Cliffside,2016,545177,0.412430535,"3,150",14.13,6,22291,2320,470,104,23,345,370,15,0,0
Black-Creek,2016,326289,0.495750513,"7,105",32.69,3.4,21737,3010,2045,94,36,306,1564,24,0,0
Blake-Jones,2016,619405,0.480965656,"1,885",24.39,0.9,7727,1105,205,11,12,133,751,5,0,0
Briar-Hill-Belgravia,2016,496978,0.518834999,"2,410",16.90,1.8,14257,2210,1420,45,30,477,316,10,0,0
Bridle-Path-Sunnybrook-York-Mills,2016,1462279,0.521877234,810,8.74,8.8,9266,715,335,66,8,58,43,0,0,0
Broadview-North,2016,648940,0.543639806,"2,560",22.26,1.7,11499,1945,680,44,10,129,154,11,0,0
Brookhaven-Amesbury,2016,423444,0.500100965,"4,375",24.64,3.5,17757,2550,1475,57,45,466,849,40,0,0
Caledonia-Fairbank,2016,540976,0.545133613,"1,405",14.11,1.5,9955,1570,685,37,1,92,7,7,0,0
Casa-Loma,2016,1310977,0.444176265,"1,350",12.31,1.9,10968,1870,285,45,77,258,97,6,0,0
Centennial-Scarborough,2016,429097,0.484369217,830,6.21,5.4,13362,1370,210,44,5,126,126,3,0,0
Church-Yonge-Corridor,2016,839906,0.484961316,"7,880",25.14,1.4,31340,10030,1975,64,89,2443,3324,14,0,0
Clairlea-Birchmount,2016,441724,0.456513066,"5,135",19.03,7.4,26984,3705,1820,129,12,831,422,11,0,0
Clanton-Park,2016,660730,0.485227079,"2,450",14.87,4.2,16472,2510,1345,57,48,357,569,6,0,0
Cliffcrest,2016,447285,0.48436437,"2,825",17.73,7.1,15935,1615,600,69,8,200,510,14,0,0
Corso-Italia-Davenport,2016,516881,0.458007063,"1,885",13.34,1.9,14133,2660,565,73,52,420,59,1,0,0
Danforth,2016,536785,0.463450874,"1,360",14.07,1.1,9666,1390,235,53,53,414,356,3,0,0
Danforth-Village-East-York,2016,587853,0.540483172,"2,330",13.56,2.2,17180,2105,405,53,33,167,423,7,0,0
Don-Valley-Village,2016,595985,0.529174353,"6,300",23.29,4.1,27051,3885,3775,57,58,373,111,5,0,0
Dorset-Park,2016,418968,0.52211412,"5,440",21.76,6,25003,3255,1960,93,31,969,468,12,0,0
Dovercourt-Wallace-Emerson-Junction,2016,586847,0.488903886,"6,205",16.94,3.7,36625,8720,1335,137,27,890,1132,10,0,0
Downsview-Roding-CFB,2016,448982,0.458008326,"6,760",19.29,14.9,35052,4685,3145,166,88,985,571,40,0,0
Dufferin-Grove,2016,686013,0.600269195,"2,105",17.86,1.4,11785,3180,480,42,8,375,166,6,0,0
East-End-Danforth,2016,557154,0.438418126,"3,955",18.50,2.6,21381,2780,1005,89,46,516,1016,13,0,0
East-York,2016,570956,0.494148558,"1,245",13.48,2.3,9233,1030,320,74,3,134,182,6,0,0
Edenbridge-Humber-Valley,2016,801118,0.389269345,"1,600",10.30,5.5,15535,1800,505,63,10,153,0,7,0,0
Eglinton-East,2016,439845,0.480710318,"5,775",25.36,3.2,22776,2860,2315,61,19,296,885,22,0,0
Elms-Old-Rexdale,2016,335796,0.476948249,"2,195",23.21,2.9,9456,1180,540,29,1,67,358,12,0,0
Englemount-Lawrence,2016,634928,0.498287982,"4,665",20.85,3.6,22372,2685,2045,90,8,175,2104,7,0,0
Eringate-Centennial-West-Deane,2016,469483,0.417739447,"1,800",9.68,8.6,18588,1930,345,85,10,229,0,6,0,0
Etobicoke-West-Mall,2016,470520,0.432211051,"2,100",17.72,1.7,11848,1850,815,27,10,146,200,11,0,0
Flemingdon-Park,2016,370748,0.457405784,"7,605",34.67,2.5,21933,3170,2785,48,8,185,748,19,0,0
Forest-Hill-North,2016,803511,0.381184519,"1,960",15.31,1.6,12806,1675,1140,53,12,144,311,1,0,0
Forest-Hill-South,2016,1358905,0.388265425,"1,140",10.62,2.5,10732,1545,465,28,25,175,174,5,0,0
Glenfield-Jane-Heights,2016,348918,0.469561555,"7,775",25.50,5.2,30491,3715,1865,88,93,587,1511,13,0,0
Greenwood-Coxwell,2016,562568,0.515661287,"2,825",19.59,1.7,14417,2345,335,44,23,315,830,9,0,0
Guildwood,2016,455050,0.500037909,740,7.46,3.8,9917,845,145,29,7,67,48,3,0,0
Henry-Farm,2016,591203,0.514421771,"4,645",29.54,2.6,15723,3825,2940,27,77,717,232,5,0,0
High-Park-North,2016,741189,0.457203355,"3,605",16.27,1.9,22162,4915,1240,61,27,254,788,6,0,0
High-Park-Swansea,2016,706318,0.449651399,"2,600",10.87,5.3,23925,4320,505,77,87,448,300,7,0,0
Highland-Creek,2016,562462,0.47818317,"1,315",10.53,5.1,12494,1635,335,70,8,91,0,4,0,0
Hillcrest-Village,2016,623993,0.53757996,"3,710",21.91,5.3,16934,1720,1125,80,19,424,1027,0,0,0
Humber-Heights,2016,570640,0.494886411,"1,480",13.52,2.8,10948,1125,345,58,4,82,688,4,0,0
Humber-Summit,2016,397174,0.426825501,"2,450",19.73,7.9,12416,1585,865,103,14,1373,133,11,0,0
