Neighbourhood,Year ,Home price,Change in housing pricing,Low income population,Change in low income pop,Total Area,Total Population,Pop  25 - 34 years,Recent Immigrants,TTC Stops,Health Providers,Businesses,Social Housing Units,Rent Bank Applicants,Future_change_low_income_pop,Future_Change_housing_pricing 
Agincourt-North,2006,234855,0.38381178,29880,0.000368724,7.3,30160,3920,4265,90,17,295,77,2,-0.00050057,0.285052479
Agincourt-South-Malvern-West,2006,245759,0.364584837,21370,-0.038545021,7.9,21565,2850,3060,121,79,1399,170,12,0.013172078,0.307455678
Alderwood,2006,252745,0.433282296,11635,-0.012767123,5,11655,1370,290,56,12,312,85,4,-0.000418146,0.338412234
Annex,2006,592630,0.45799198,26020,0.1746581,2.8,27480,6760,1260,86,192,2322,1065,11,0.076460366,0.37270641
Banbury-Don-Mills,2006,410468,0.475760408,25000,0.056200068,10,25435,2790,2400,125,65,735,304,21,0.006207542,0.369329643
Bathurst-Manor,2006,308347,0.453390649,14430,-0.013386146,4.8,14945,1900,2145,60,44,259,385,9,-0.008679736,0.307617716
Bay-Street-Corridor,2006,563035,0.766678067,14930,0.013973343,1.8,15320,5060,1845,103,179,4194,520,6,0.194129806,0.576013925
Bayview-Village,2006,401024,0.366453363,15265,0.116360696,5.2,15370,2545,2020,44,128,433,122,5,-0.089356555,0.379969777
Bayview-Woods-Steeles,2006,379728,0.374357118,12945,-0.201575153,4.1,13295,1170,1695,45,10,95,170,4,-0.086017186,0.281351388
Bedford-Park-Nortown,2006,514824,0.437879143,21785,0.043075049,5.5,21960,2195,775,76,45,659,236,8,0.058287324,0.303086103
Beechborough-Greenbrook,2006,248970,0.419271353,6280,-0.036952627,1.8,6530,895,410,26,8,142,440,21,-0.007103482,0.291083263
Bendale,2006,217258,0.369796855,24800,0.706488304,7.4,25490,3550,2395,103,80,825,508,30,0.254831383,0.305010633
Birchcliffe-Cliffside,2006,287985,0.440825516,21170,-0.14166772,6,21655,2435,710,96,23,350,868,25,-0.068270375,0.340295502
Black-Creek,2006,178897,0.401399073,21550,-0.075434409,3.4,21715,2985,2765,85,34,343,1432,62,0.01163448,0.219383221
Blake-Jones,2006,300079,0.423990775,7685,0.02465122,0.9,11890,1895,355,21,10,139,1052,7,-0.005187215,0.393779638
Briar-Hill-Belgravia,2006,245574,0.375294717,14190,0.134736834,1.8,14200,2280,1940,31,35,467,328,12,0.009483571,0.332429329
Bridle-Path-Sunnybrook-York-Mills,2006,758799,0.647353441,7600,0.004259214,8.8,8210,425,145,73,7,58,0,1,0.068957012,0.266262871
Broadview-North,2006,318426,0.497995935,11355,-0.180086015,1.7,11590,2025,1300,36,10,128,238,11,-0.170770677,0.320231388
Brookhaven-Amesbury,2006,213308,0.380821989,17270,0.124336092,3.5,17325,2495,2085,66,42,429,589,42,0.009241447,0.323330583
Caledonia-Fairbank,2006,262130,0.430856232,10245,-0.044675629,1.5,10280,1585,780,35,1,96,294,9,-0.029386343,0.33565788
Casa-Loma,2006,683240,0.62277837,9760,0.101197311,1.9,9810,1635,480,45,96,284,113,4,0.102051412,0.328622446
Centennial-Scarborough,2006,223897,0.413410854,12325,-0.065695038,5.4,12450,1220,425,46,5,125,139,3,-0.007764149,0.291116004
Church-Yonge-Corridor,2006,420264,0.418765909,23535,0.202058721,1.4,24370,7185,1975,62,78,2492,3702,13,0.202980883,0.345839758
Clairlea-Birchmount,2006,228647,0.428481285,19510,-0.093170486,7.4,19855,2610,2510,130,13,817,272,13,0.044391448,0.326389587
Clanton-Park,2006,335547,0.451120731,13670,0.014497477,4.2,13735,1860,1305,50,41,344,549,5,-0.097057115,0.325799366
Cliffcrest,2006,234310,0.425798364,14375,-0.058748828,7.1,14530,1360,630,67,9,214,497,15,0.013719309,0.286035594
Corso-Italia-Davenport,2006,253212,0.41585775,14260,-0.065931964,1.9,14415,2320,715,49,56,415,46,7,-0.11683871,0.400060029
Danforth,2006,268875,0.45585727,9495,0.030700485,1.1,5450,850,465,24,55,413,715,5,0.025268317,0.364180381
Danforth-Village-East-York,2006,276812,0.461528308,16445,-0.007885432,2.2,16500,2500,815,66,32,156,287,10,0.041902475,0.378563791
Don-Valley-Village,2006,291089,0.411210604,26380,0.063368646,4.1,26640,4035,6960,45,50,367,156,12,-0.01213259,0.338913528
Dorset-Park,2006,215655,0.40050265,23730,0.07718161,6,24365,3715,3660,78,33,922,510,24,0.005459612,0.276362709
Dovercourt-Wallace-Emerson-Junction,2006,293349,0.443888249,34405,-0.214085646,3.7,34725,6855,2625,107,28,863,1085,15,-0.01642179,0.343611193
Downsview-Roding-CFB,2006,235346,0.414491952,31920,-0.006499533,14.9,32010,4595,2985,167,82,965,530,74,0.073538108,0.308464983
Dufferin-Grove,2006,308660,0.425859114,11715,-0.002449011,1.4,11805,2625,1055,34,8,350,358,6,-0.036246521,0.38886153
East-End-Danforth,2006,276256,0.463321097,19740,0.106238525,2.6,20100,2905,1100,68,41,523,859,17,0.114541233,0.402098054
East-York,2006,276045,0.344901171,9000,-0.00094356,2.3,9025,1185,410,60,3,127,78,4,-0.011374047,0.384296039
Edenbridge-Humber-Valley,2006,422248,0.387148489,14445,0.014440176,5.5,14450,1570,1400,47,10,162,0,24,0.032912088,0.365659518
Eglinton-East,2006,234745,0.408095447,22160,-0.032502811,3.2,22385,3035,2670,52,22,313,865,31,-0.023192461,0.265415664
Elms-Old-Rexdale,2006,183299,0.386098109,9420,-0.003764373,2.9,9440,1285,925,29,1,70,571,14,-0.001466807,0.240366832
Englemount-Lawrence,2006,317670,0.419620952,20330,0.188477128,3.6,21125,2760,1895,78,9,185,1702,6,0.065096343,0.333991249
Eringate-Centennial-West-Deane,2006,254796,0.437892563,18460,-0.06199533,8.6,18535,1790,785,71,9,244,104,12,-0.023764997,0.29966326
Etobicoke-West-Mall,2006,250753,0.414932936,10295,-0.019727047,1.7,10680,1275,1355,29,13,181,99,6,0.003224781,0.310161793
Flemingdon-Park,2006,197068,0.408584397,21270,-0.043352616,2.5,21290,3150,4890,51,9,220,717,36,0.039937112,0.290869142
Forest-Hill-North,2006,437316,0.470557971,12260,0.041638145,1.6,12295,1760,1610,30,14,154,469,5,-0.019639487,0.330285194
